,Malas,Regulares,Buenas,Excelentes
@,0.004775070027708898,0.005266151644270934,0.008583721571191565,0.02943138956330858
`,0.0,0.00897196206060974,0.0,0.0
aa,0.003999773136830713,0.00294767861557819,0.0,0.008564049176452393
aaa,0.0,0.00695430544167257,0.0044167723468078795,0.0
aaaaaaaaaaah,0.019806029454553575,0.0,0.0,0.0
aaaaaaaaahh,0.0,0.0,0.007100696016401393,0.0
aaaaaah,0.0,0.0,0.0047895949555498375,0.0
aaaaaal,0.0,0.0027253645030497777,0.0,0.0
aaaaah,0.0,0.0,0.0,0.006248330720781781
aaaaahhh,0.0,0.005279394272043618,0.007100696016401393,0.0
aaaaahhhhh,0.0,0.0,0.005014583890563723,0.0
aaaaargh,0.0,0.006361936733886906,0.0,0.0
aaaagggghhhhh,0.0,0.0,0.006103020704019415,0.0
aaaaggghhh,0.0,0.0,0.0,0.005132939730758326
aaaah,0.0,0.010504454702787732,0.007100696016401393,0.004498189565410391
aaaahh,0.0,0.008043828054339766,0.0,0.0
aaaaow,0.0,0.0027253645030497777,0.0,0.0
aaaargh,0.0,0.012723873467773811,0.0,0.0
aaaggghhh,0.0,0.0,0.005476797710041771,0.0
aaah,0.004775070027708898,0.0035817404272592292,0.006319244854552527,0.009372496081172672
aaahh,0.0,0.005279394272043618,0.007100696016401393,0.0
aaahhh,0.0,0.00889592848382491,0.0,0.0
aaahjohn,0.0,0.006120813767296439,0.0,0.0
aaaow,0.0,0.0027253645030497777,0.0,0.0
aaargh,0.0,0.028308940333273195,0.0,0.0
aaarghhh,0.0,0.004978907009128882,0.0,0.0
aabha,0.0,0.0,0.0,0.005467289380684059
aactual,0.006714624058153556,0.0,0.0,0.0
aaggghh,0.0,0.0,0.0,0.005132939730758326
aaggh,0.0,0.0,0.021907190840167085,0.0
aagghh,0.0,0.0,0.03286078626025063,0.00476163468670323
aagh,0.0,0.0,0.0,0.005132939730758326
aah,0.003073640210426147,0.005033160091803363,0.00231461586430752,0.0036590954886025558
aahh,0.0,0.005279394272043618,0.0,0.0
aahhh,0.0,0.00889592848382491,0.0,0.0
aakonian,0.0,0.0,0.0,0.004121935449311542
aal,0.0,0.0,0.0,0.026188429798536535
aalam,0.0,0.0,0.0,0.0064998115237853826
aand,0.008408968446659594,0.0,0.0,0.0
aar,0.0,0.0,0.003640645876617362,0.0
aardvark,0.0,0.0,0.005842594959692056,0.0
aargh,0.0,0.038171620403321435,0.008675368273482144,0.0
aaron,0.008528527239740062,0.11099346902946716,0.012672670757641925,0.0026744447416339858
