,Malas,Regulares,Buenas,Excelentes
#,0.0042834311993562016,0.0030030934665349895,0.010853700584214695,0.006395931060235227
$,0.000607504311556783,0.0015016604100831607,0.0003220076171530893,0.0003235911991641718
%,0.0017765178958573107,0.0006817073715001616,0.0004754716696874865,0.0013951415805437204
&,0.000926444267743291,0.0007189072609633358,0.0016586358460950865,0.0023213520796792767
*,0.053138247517237704,0.03031290763429593,0.19386331938633194,0.0
**,0.0012070006035003018,0.03223330775134305,0.0,0.0
****,0.005300998453466517,0.0,0.0013568521031207597,0.0
**and,0.0020181634712411706,0.0,0.0,0.0
*african,0.0,0.0,0.0,0.0033702658766178875
*macgyv,0.0022148394241417496,0.0,0.0,0.0
*magnum,0.0023228803716608595,0.0,0.0,0.0
*speak,0.006472491909385114,0.0,0.0,0.0
*teach,0.006472491909385114,0.0,0.0,0.0
+,0.006644518272425249,0.0020833333333333333,0.0012714558169103624,0.002521283926733813
-,0.0078125,0.0029239766081871343,0.060492118036770785,0.0004070628702303396
--,0.0007838371730367755,0.021786614386680732,0.017820740167469092,0.009052721758381494
-09,0.0,0.0,0.001092896174863388,0.0
-2,0.0,0.0,0.0011676769789250988,0.001320991844591918
-20,0.0,0.0014492753623188406,0.0,0.0
-200,0.0,0.0,0.0,0.0016851329383089438
-25000,0.0,0.0,0.0,0.0013088087841016105
-26-3,0.0,0.0,0.0013531799729364006,0.0
-285,0.0,0.0,0.0,0.001022527912643461
-30,0.0,0.0,0.0,0.0013360939705892702
-300,0.0,0.0,0.004291845493562232,0.0
-375,0.0,0.0,0.0,0.0021595344937676572
-4,0.0,0.0022532758678196533,0.001050043265967873,0.0
-4000,0.0,0.0,0.0,0.0013360939705892702
-5,0.0,0.0,0.0,0.001721639284459484
-5-5,0.0,0.0,0.0,0.0014120623555552558
-62,0.0,0.0021691973969631237,0.0,0.0
-650,0.002232142857142857,0.0,0.0,0.0
-8-0,0.0,0.0,0.0012578616352201257,0.0
-800-beyotch,0.0,0.0016155088852988692,0.0,0.0
-800-i-dont-know-it,0.0,0.0021691973969631237,0.0,0.0
-855-4-amy-tip,0.0,0.0,0.0010095911155981827,0.0
-887,0.0,0.0,0.0,0.001022527912643461
-9-9-5,0.0020161290322580645,0.0,0.0,0.0
-=,0.0,0.0,0.0029239766081871343,0.0
-a,0.0017064926670619504,0.0022070706453338226,0.003725811413017585,0.0007292609335627869
-a-ha,0.0,0.0,0.0,0.001721639284459484
-aaah,0.0,0.0023894862604540022,0.0,0.0
-aah,0.0,0.0021691973969631237,0.0,0.004010979275100091
-about,0.0011864315672737561,0.002129925452609159,0.0,0.001460781402601615
-absolut,0.0,0.0014492753623188406,0.0,0.0
-abuelita,0.0,0.0,0.0,0.001721639284459484
-acceler,0.0,0.0,0.0024154589371980675,0.0
-access,0.0041293874741913286,0.0,0.0,0.0
-advanc,0.0,0.0,0.0,0.001022527912643461
-after,0.0,0.0,0.0,0.0013088087841016105
-again,0.0013966480446927375,0.0,0.0,0.0
-agrarian,0.0,0.0,0.0,0.001022527912643461
-agre,0.0013966480446927375,0.0,0.0,0.0
-ah,0.002126925621899913,0.001231137684301463,0.0,0.0011344157056542826
-aint,0.0,0.0,0.0,0.0011344157056542826
-al,0.0,0.0,0.0,0.0013088087841016105
-alberto,0.0019029495718363464,0.0,0.0,0.0
-ali,0.0,0.0,0.0,0.0013088087841016105
-all,0.002559739000592925,0.0037314435822102714,0.008454106280193236,0.0018636766392170693
-almost,0.0,0.0014492753623188406,0.0,0.0
-alonso,0.003805899143672693,0.0,0.0,0.0
-alright,0.0019029495718363464,0.0,0.0,0.0
-alway,0.0,0.0027137042062415195,0.0,0.0013360939705892702
-am,0.0,0.0016736401673640166,0.0024154589371980675,0.0
-amanda,0.003940886699507389,0.0,0.0,0.0
-ampl,0.0,0.0,0.0,0.0013088087841016105
-an,0.0,0.002652519893899204,0.0,0.0019047929249743094
-and,0.002928645269564325,0.00087788798627799,0.0010108026093073302,0.0011565746257249773
-angl,0.0,0.0,0.0012077294685990338,0.0
-ani,0.0,0.0,0.0,0.0010076161019738576
-anoth,0.0,0.0,0.0012077294685990338,0.0
-answer,0.0,0.004259850905218318,0.0,0.0
-anybodi,0.0,0.0,0.0,0.0013360939705892702
-anyth,0.0,0.0,0.0,0.0013360939705892702
-anyway,0.0,0.0021691973969631237,0.0,0.0013360939705892702
-appar,0.0,0.001231137684301463,0.0,0.0
-applaus,0.004189944134078212,0.0,0.0,0.0
-aqaba,0.0,0.0,0.0,0.0013088087841016105
-arabia,0.0,0.0,0.0,0.0013088087841016105
-are,0.0018170809995307002,0.0018540318417401029,0.001025948070251219,0.0017332459353031305
-arent,0.0,0.0,0.0,0.0011344157056542826
-artilleri,0.0,0.0,0.0,0.0013088087841016105
-asano,0.0,0.0,0.0,0.001901216970589708
-ashitaka,0.0,0.0,0.0,0.001901216970589708
-ashley,0.0,0.0,0.0014619883040935672,0.0
-ass,0.0,0.0,0.0,0.0013360939705892702
-at,0.0011864315672737561,0.0,0.0,0.0
-auda,0.0,0.0,0.0,0.0013088087841016105
-av,0.0,0.0,0.0012077294685990338,0.0
-averi,0.0,0.0021691973969631237,0.0,0.0
-aw,0.0,0.0038240917782026767,0.0,0.0
-awesom,0.0013966480446927375,0.0,0.0,0.0
-aww,0.0,0.0021691973969631237,0.0,0.0
